Kanji	Significado	Leitura(s) ON	Leitura(s) KUN	Mnemônica	Nível JLPT
痴	Tolo, estúpido	チ	Não possui	A doença (疒) que afeta o saber e conhecer (知) deixa o indivíduo tolo e estúpido.	N1
笛	Flauta	テキ	ふえ	O bambu (竹) é a verdadeira razão e origem (由) do doce som desta clássica flauta.	N1
昧	Obscuro, ignorante	マイ, バイ	Não possui	Quando o sol (日) ainda não (未) despontou e iluminou, tudo permanece obscuro e ignorante.	N1
訟	Processo judicial, litígio	ショウ	Não possui	Palavras (言) levadas ao espaço público (公) e oficial iniciam um sério processo judicial e litígio.	N1
唾	Saliva	ダ, タ	つば	O líquido da boca (口) que pode cair e pingar (垂) de forma natural é a saliva.	N1
肪	Gordura animal	ボウ, ホウ	Não possui	A parte do corpo e carne (月) que se acumula em toda a direção (方) é a gordura animal.	N1
塀	Muro, cerca	ヘイ	Não possui	A terra (土) do tamanho de um corpo (尸) moldada junta (并) e alinhada forma um resistente muro e cerca.	N1
碁	Go (jogo de tabuleiro)	ゴ	Não possui	Aquela (其) disposição exata de pedras (石) pretas e brancas forma o milenar jogo de Go.	N1
敢	Ousar, audaz	カン	あ・えて	No penhasco (𠂆), aquele que puxa a orelha (耳) do oponente e ataca (攵) prova ser audaz e ousar muito.	N1
塁	Base, forte	ルイ	Não possui	O antigo campo (田) erguido e reforçado com muita terra (土) serve de segura base e forte militar.	N1
暁	Amanhecer, aurora	ギョウ	あかつき	O sol (日) brilhando alto e eminente (尭) no céu escuro anuncia a aurora e o amanhecer.	N1
胴	Torso, tronco	ドウ	Não possui	A parte do corpo (月) que partilha e abriga os mesmos (同) órgãos vitais no centro é o torso e tronco.	N1
謡	Canto (Noh), balada	ヨウ	うたい, うた・う	As bonitas palavras (言) entoadas enquanto uma mão (爪) bate na lata (缶) criam uma balada e canto.	N1
飢	Fome, estar faminto	キ	う・える	Ver comida (飠) deixada inatingível numa mesa (几) distante causa terrível fome e deixa qualquer um faminto.	N1
欄	Coluna, corrimão	ラン	Não possui	A madeira (木) do portão (門) virado a leste (東) compõe de forma segura uma forte coluna e corrimão.	N1
艶	Sensual, brilhante	エン	つや	Uma abundante (豊) e exuberante cor (色) aplicada com cuidado torna tudo muito mais brilhante e sensual.	N1
痕	Cicatriz, marca	コン	あと	A ferida (疒) que resiste teimosamente (艮) na cicatrização da pele deixa no fim uma clara cicatriz e marca.	N1
怠	Negligência, preguiça	タイ	おこた・る, なま・ける	O coração (心) de quem só pensa em repousar sobre um pedestal (台) revela negligência e preguiça.	N1
欺	Engano, enganar	ギ	あざむ・く	Aquele (其) homem que finge um bocejo (欠) de fadiga quer de fato cometer um engano e enganar os outros.	N1
弦	Corda (de arco)	ゲン	つる	Presa fortemente no arco (弓), repousa uma misteriosa, enigmática e escura (玄) corda.	N1
泡	Bolha	ホウ	あわ	A fina água (氵) fechada envolvendo como um minúsculo pacote (包) cheio de ar gera uma frágil bolha.	N1
諦	Desistir	テイ	あきら・める	Sendo as palavras (言) finais e ditas pelo imperador (帝), só te resta aceitar a ordem e desistir.	N1
伐	Cortar (árvore), atacar	バツ	Não possui	A pessoa (亻) munida de uma afiada alabarda (戈) marcha rumo à floresta para atacar e cortar árvores.	N1
餅	Mochi (bolo de arroz)	ヘイ	もち	Juntar (并) intensamente e amassar os grãos desta comida (飠) gera o pegajoso bolo de arroz ou mochi.	N1
寮	Dormitório	リョウ	Não possui	Sob o espaçoso telhado (宀), cada colega (尞) descansa comodamente na sua cama de dormitório.	N1
厄	Azar, infortúnio	ヤク	Não possui	Refugiado debaixo do penhasco (厂), o homem curvado (㔾) chora o seu grande azar e infortúnio.	N1
奔	Correr agilmente, fugir	ホン	Não possui	A grande (大) dezena (十) de mãos (廾) avança em uníssono para fugir e correr agilmente para longe.	N1
瞳	Pupila (do olho)	ドウ	ひとみ	O vivo olho (目) admirado da jovem criança (童) atenta exibe uma imensa pupila.	N1
昆	Inseto, descendente	コン	Não possui	Debaixo do forte sol (日), torna-se fácil comparar (比) um minúsculo inseto e o seu descendente.	N1
椎	Carvalho, espinha	ツイ, スイ	Não possui	O pequeno pássaro (隹) repousa sobre a madeira (木) do carvalho com a firmeza de uma forte espinha dorsal.	N1
懇	Sociável, rogar	コン	ねんご・ろ	Um felino (豸) teimoso (艮) mas com bom coração (心) mostra-se sociável ao rogar e pedir carinho.	N1
唄	Canção	バイ	うた	A entusiasmada boca (口) de quem troca as suas preciosas conchas (貝) no mercado canta uma bela canção.	N1
渦	Redemoinho	カ	うず	A veloz água (氵) que flui de encontro a uma concavidade (咼) origina de imediato um forte redemoinho.	N1
襟	Colarinho, lapela	キン	えり	A roupa (衤) fechada rente e justa à zona de proibição (禁) do pescoço projeta um vistoso colarinho e lapela.	N1
吟	Recitar, versificar	ギン	Não possui	Usar a boca (口) agora (今) perante a plateia serve de inspiração para recitar e versificar doces cantos.	N1
覇	Hegemonia, supremo	ハ	Não possui	Focado no oeste (覀), com o seu escudo de couro (革) banhado pela lua (月), o guerreiro supremo alcança total hegemonia.	N1
衡	Equilíbrio, balança	コウ	Não possui	O grande (大) chifre (角) na linha (行) ajuda a manter o equilíbrio e a balança.	N1
呈	Apresentar, exibir	テイ	Não possui	O rei (王) abre a boca (口) para apresentar e exibir a sua ordem.	N1
隙	Brecha, fresta	ゲキ	すき	A colina (阝) com um pequeno (小) espaço branco (白) revela uma brecha e fresta.	N1
淫	Obsceno, lascivo	イン	みだ・ら	A água (氵) e a garra (爫) sobre o fardo (壬) escondem um ato obsceno e lascivo.	N1
娠	Gravidez	シン	Não possui	A mulher (女) sente a força do dragão (辰) no seu ventre durante a gravidez.	N1
循	Circular, seguir	ジュン	Não possui	O passo (彳) protegido pelo escudo (盾) serve para circular e seguir em frente.	N1
懲	Castigar, punir	チョウ	こ・りる, こ・らす, こ・らしめる	O rígido sinal (徴) gravado no coração (心) serve para castigar e punir o erro.	N1
錦	Brocado	キン	にしき	Fios de ouro (金) tecidos num pano (巾) branco (白) formam um belíssimo brocado.	N1
猟	Caça (ato de caçar)	リョウ	Não possui	O cão (犭) perseguindo a fera de crina (巤) representa perfeitamente o ato de caça.	N1
幣	Moeda, oferenda xintoísta	ヘイ	Não possui	Um pedaço de pano (巾) muito gasto (㡀) serve como moeda e oferenda xintoísta.	N1
附	Anexar, adicionar	フ	つ・ける, つ・く	Decidiram que naquela colina (阝) iriam anexar e adicionar (付) um novo posto militar.	N1
箇	Contador para itens	カ, コ	Não possui	Um pedaço de bambu (竹) bem sólido (固) é bastante útil como um contador para itens.	N1
醜	Feio, desonroso	シュウ	みにく・い	O álcool (酉) que transforma o homem num demônio (鬼) torna o seu caráter feio e desonroso.	N1
箸	Hashi (pauzinhos)	チョ	はし	Toda a pessoa (者) que usa hastes de bambu (竹) para comer segura o seu hashi.	N1
戚	Parentes	セキ	Não possui	Sob o penhasco (厂), os pequenos (小) guerreiros armados (戊) unem-se como uma família e parentes.	N1
喚	Gritar, chamar	カン	わめ・く	Aquela boca (口) com um volume brilhante (奂) serve incrivelmente para gritar e chamar.	N1
紺	Azul marinho	コン	Não possui	O fio (糸) banhado num caldo de cor doce (甘) e escura tinge a roupa de azul marinho.	N1
某	Um certo (alguém/algo)	ボウ	なにがし	O aroma doce (甘) que vem daquela árvore (木) no bosque atrai um certo alguém.	N1
鋼	Aço	コウ	はがね	O metal (金) forjado para ficar tão resistente e duro quanto a colina (岡) é o aço.	N1
褒	Elogiar	ホウ	ほ・める	Garantir e manter (保) a qualidade da sua bela roupa (衣) é decerto um motivo para elogiar.	N1
赴	Dirigir-se a, ir para	フ	おもむ・く	Correr (走) até o sagrado local da adivinhação (卜) é a melhor forma de dirigir-se a um novo rumo.	N1
媒	Mediador, meio	バイ	なかだち	A sábia mulher (女) que conhece um certo alguém (某) na vila pode atuar como mediador e meio.	N1
妬	Ciúmes, inveja	ト	ねた・む, ねた・ましい	Uma mulher (女) amargurada que carrega uma pedra (石) no peito sofre constantemente de ciúmes e inveja.	N1
遮	Obstruir, bloquear	シャ	さえぎ・る	Caminhar (辶) diretamente para o meio da multidão plebeia (庶) serve para obstruir e bloquear a passagem.	N1
窯	Forno (de cerâmica)	ヨウ	かま	O quente buraco (穴) onde a jovem ovelha (羔) busca abrigo parece um verdadeiro forno de cerâmica.	N1
侯	Marquês, lorde	コウ	Não possui	A admirável pessoa (亻) que atira sempre a flecha certeira (矣) acaba por ser nomeada marquês ou lorde.	N1
釜	Caldeirão, panela de ferro	フ	かま	A enorme peça de metal (金) que o pai (父) usa sobre a fogueira é um caldeirão e panela de ferro.	N1
茎	Caule, haste	ケイ	くき	A pequena planta (艹) crescendo bravamente na terra santa (圣) ganha um robusto caule e haste.	N1
蔑	Desprezar, desdém	ベツ	さげす・む	Atirar a planta (艹) na rede (罒) juntamente com o cão (戌) mostra apenas vontade de desprezar e desdém.	N1
嗅	Cheirar, farejar	キュウ	か・ぐ	Aproximar a boca (口) e inspirar fundo mesmo diante do fedor (臭) é o ato natural de cheirar e farejar.	N1
壌	Solo, terra fértil	ジョウ	Não possui	A fina terra (土) que é constantemente arada, ajudada e revolvida (襄) transforma-se num excelente solo e terra fértil.	N1
蜜	Mel, néctar	ミツ	Não possui	Sob o teto (宀) seguro da colmeia, é certo (必) que o minúsculo inseto (虫) produzirá o precioso mel e néctar.	N1
尼	Freira	ニ, ジ	あま	O corpo (尸) da modesta senhora a usar a colher (匕) para servir no templo é sem dúvida o de uma freira.	N1
肢	Membro (do corpo)	シ	Não possui	A parte da carne e do corpo (月) que serve efetivamente de suporte e galho (支) é um útil membro do corpo.	N1
赦	Perdão, perdoar	シャ	Não possui	Ficar vermelho (赤) de vergonha ou fúria após o ataque (攵) é apenas o passo inicial para alcançar o perdão.	N1
酬	Recompensa, retribuir	シュウ	むく・いる	A rara bebida (酉) oferecida oficialmente pela província (州) é uma merecida recompensa para retribuir a vitória.	N1
戴	Receber (humildemente)	タイ	いただ・く	Empunhar a velha arma (𢦏) e usar a máscara diferente (異) no culto serve para receber humildemente a glória.	N1
詠	Recitar (poesia), compor	エイ	よ・む	As sonoras palavras (言) construídas para perdurar por toda a eternidade (永) são feitas para recitar poesia e compor.	N1
斗	Medida de volume (concha)	ト	Não possui	O contorno primitivo desta figura exibe (斗) o exato e rústico formato da clássica medida de volume e concha.	N1
宜	Apropriado, bom	ギ	よろ・しい	Um amplo teto (宀) que, além do mais (且), consegue abrigar a todos é seguramente um refúgio apropriado e bom.	N1
殻	Casca, concha	カク	から	O forte guerreiro (士) abrigado sob a cobertura (冖) usa a dura arma (殳) para tentar quebrar a resistente casca e concha.	N1
墳	Túmulo, sepultura	フン	Não possui	A montanha de terra (土) levantada e decorada de forma enérgica (賁) ergue-se como um imponente túmulo e sepultura.	N1
炊	Cozinhar (arroz)	スイ	た・く	Acender o fogo (火) de manhãzinha ainda num bocejo (欠) de sono é a primeira rotina para cozinhar o arroz.	N1
碑	Monumento de pedra	ヒ	Não possui	A maciça pedra (石) colocada num local rústico e baixo (卑) sinaliza bem o antigo e esquecido monumento de pedra.	N1
痩	Emagrecer, ficar magro	ソウ	や・せる	A persistente doença (疒) que abateu o velho e frágil homem (叟) fez o seu corpo emagrecer muito e ficar magro.	N1
但	No entanto, contudo	タン	ただ・し	"Aquela pessoa (亻) que, logo no despontar do amanhecer (旦), já interrompe com ""no entanto"" e ""contudo""."	N1
奨	Encorajar, promover	ショウ	すす・める	Um notável comandante (将) com um grande (大) coração possui sempre o dom de encorajar e promover os seus soldados.	N1
践	Praticar, executar	セン	Não possui	O firme pé (足) que avança sem hesitar sobre os tristes restos da batalha (戔) ajuda na moral para praticar e executar a marcha.	N1
滋	Nutritivo, nutrir	ジ	Não possui	A límpida água (氵) que atrai (茲) o crescimento acelerado da colheita funciona como um adubo nutritivo para nutrir a terra.	N1
儒	Confucionismo, erudito	ジュ	Não possui	O homem (亻) que atende à forte demanda (需) intelectual por conhecimento antigo é o brilhante erudito do confucionismo.	N1
薦	Recomendar, esteira	セン	すす・める	A palha e grama (艹) esticada sob o teto (广) com vinte (廿) fogueiras (灬) para secar o pássaro (隹) faz uma ótima esteira para recomendar.	N1
怨	Rancor, ressentimento	エン, オン	Não possui	Na calada da noite (夕), a pessoa sentada curvada (㔾) esconde no seu coração (心) uma mágoa intensa de rancor e ressentimento.	N1
栽	Plantar, cultivar	サイ	Não possui	Usar continuamente dez (十) afiadas alabardas (戈) para revolver a dura terra perto da árvore (木) é ideal para plantar e cultivar.	N1
刈	Ceifar, cortar	カイ, ガイ, ゲ	か・る	A gigantesca tesoura (乂) que corta perfeitamente alinhada como a navalha de uma espada (刂) serve prontamente para ceifar e cortar.	N1
閑	Lazer, ocioso	カン, ゲン	Não possui	Ficar pacatamente deitado encostado à árvore (木) perto do portão (門) fechado traduz o repouso absoluto do lazer e ocioso.	N1
錠	Fechadura, pílula	ジョウ, テイ	Não possui	O resistente bloco de metal (金) construído para manter a porta decididamente fixa (定) é sem dúvida a confiável fechadura.	N1
扶	Apoiar, ajudar	フ	Não possui	A amável mão (扌) estendida prontamente em prol do marido e trabalhador (夫) tem apenas o único intuito de o apoiar e ajudar.	N1
妥	Compromisso, apropriado	ダ	Não possui	A carinhosa mão e garra (爫) gentilmente repousada sobre a sábia mulher (女) assinala inequivocamente um compromisso firme e apropriado.	N1
妨	Obstruir, impedir	ボウ, ホウ	さまた・げる	Aquela ranzinza mulher (女) parada propositadamente na exata direção (方) da nossa passagem tenta apenas conseguir obstruir e impedir o avanço.	N1
醒	Despertar, acordar	セイ	Não possui	O fascinante e intenso brilho da distante estrela (星) cadente ajudou finalmente o ébrio que exagerou no licor (酉) a despertar e acordar.	N1
詣	Visitar um lugar sagrado	ケイ	もう・でる	Levar doces e sinceras palavras (言) com o puro e verdadeiro propósito (旨) da oração é essencial para visitar um lugar sagrado com respeito.	N1
胎	Feto, útero	タイ	Não possui	A aconchegante parte da carne e do corpo materno (月) que funciona delicadamente como um pedestal e altar (台) divino é o útero a guardar o feto.	N1
窟	Caverna, covil	クツ, コツ	Não possui	Explorar o longo e escuro buraco (穴) até chegar ao fundo onde todos têm de ceder e dobrar (屈) a espinha revela uma medonha caverna e covil.	N1
巾	Pano, toalha	キン	Não possui	O claro e singular formato suspenso desta antiquíssima pictografia visual remete diretamente à moldura e dobra de um simples pano ou toalha.	N1
蜂	Abelha, vespa	ホウ	はち	O diligente inseto (虫) listrado que, ao final do outono (夂), pousa incansavelmente sobre os longos e delicados ramos (丰) para polinizar é a abelha ou vespa.	N1
忌	Luto, detestar	キ	い・む, い・まわしい	O seu próprio (己) coração (心) sente profundo luto e decide detestar o mal.	N1
骸	Cadáver, esqueleto	ガイ	Não possui	O osso (骨) do porco (亥) abandonado revela perfeitamente um cadáver e esqueleto.	N1
弄	Brincar com, ridicularizar	ロウ	もてあそ・ぶ	O rei (王) ergue as mãos (廾) para brincar com e ridicularizar a corte.	N1
嫉	Ciúme, inveja	シツ	Não possui	A mulher (女) consumida por essa doença (疾) sente um enorme ciúme e inveja.	N1
粛	Solene, silencioso	シュク	Não possui	Usar o pincel (肀) e o arroz (米) compõe um ritual muito solene e silencioso.	N1
罵	Insulto, abusar	バ	ののし・る	Prender com a rede (罒) o cavalo (馬) aos gritos é um claro insulto e o ato de abusar.	N1
囚	Prisioneiro, capturado	シュウ	Não possui	Uma pessoa (人) trancada numa caixa (囗) torna-se logo um prisioneiro capturado.	N1
鉛	Chumbo	エン	なまり	O metal (金) dividido em oito (八) pedaços pela boca (口) da forja forma o chumbo.	N1
搭	Embarcar, carregar	トウ	Não possui	A mão (扌) usa fardos de mato (艹) para conseguir juntar (合), embarcar e carregar.	N1
諭	Advertir, instruir	ユ	さと・す	Palavras (言) que unem (亼) o corpo (月) sob a espada (刂) no rio (巜) servem para advertir e instruir.	N1
璧	Joia redonda, perfeição	ヘキ	Não possui	Sob a postura (尸), a boca (口) amarga (辛) molda a joia (玉) até a mais bela perfeição.	N1
阜	Colina, monte	フ	Não possui	O montículo rústico de terra (𠂤) marcado por uma cruz (十) assinala a colina e o monte.	N1
喝	Gritar, ameaçar	カツ	Não possui	A boca (口) que num dia (日) abraça (勹) a colher (匕) como arma foca-se em gritar e ameaçar.	N1
享	Desfrutar, receber	キョウ, コウ	Não possui	Sob o alto teto (亠), a boca (口) da criança (子) sorri satisfeita ao desfrutar e receber.	N1
騰	Subir, saltar	トウ	Não possui	Debaixo do luar (月), o rei (朕) impulsiona o seu cavalo (馬) a subir e saltar.	N1
嗣	Herdeiro, sucessor	シ	Não possui	A boca (口) que lê os livros (冊) antigos do oficial (司) pertence ao herdeiro e sucessor.	N1
勅	Decreto imperial	チョク	Não possui	Amarrar o pesado feixe (束) usando extrema força (力) física obedece ao decreto imperial.	N1
篤	Fervoroso, cordial	トク	Não possui	Usar a vara de bambu (竹) no cavalo (馬) com atenção exige um trato muito fervoroso e cordial.	N1
勲	Mérito, condecoração	クン	Não possui	Todo o duro movimento (動) constante exercido junto ao fogo (灬) rende mérito e condecoração.	N1
埼	Cabo, promontório	キ	さい	A base de terra (土) que foi gerada num formato ímpar (奇) forma fisicamente o cabo e promontório.	N1
伎	Habilidade, talento	ギ	Não possui	A dedicada pessoa (亻) que serve fielmente de firme suporte (支) exibe exímia habilidade e talento.	N1
曖	Ambíguo, obscuro	アイ	Não possui	Quando a luz do sol (日) fica nublada pelo apego e amor (愛), o cenário torna-se ambíguo e obscuro.	N1
詐	Fraude, mentira	サ	Não possui	Usar maliciosamente as palavras (言) para enganar subitamente (乍) é sinal de fraude e mentira.	N1
餌	Isca, ração	ジ, ニ	えさ, え	A saborosa comida (飠) cujo estalo atrai rapidamente as orelhas (耳) do bicho é a isca e ração.	N1
岬	Cabo (geográfico)	コウ	みさき	A pontiaguda montanha (山) que avança forte como uma dura armadura (甲) sobre o oceano marca o cabo.	N1
暫	Temporariamente, um tempo	ザン	しばら・く	O imobilizado carro (車) parado pelo peso do machado (斤) ao sol (日) espera parado temporariamente e um tempo.	N1
爽	Refrescante, fresco	ソウ	さわ・やか	A forte pessoa de grande (大) porte que corta (乂) o vento gélido aproveita o ar refrescante e fresco.	N1
肖	Semelhança, retrato	ショウ	Não possui	Uma diminuta (⺌) parte biológica (月) carrega nela toda a incrível semelhança e o fiel retrato.	N1
詮	Investigação, valor	セン	せん・ずる	Utilizar incisivamente as palavras (言) para tentar compreender tudo (全) demanda rigorosa investigação e valor.	N1
諾	Consentimento, aceitar	ダク	Não possui	As respeitosas palavras (言) de obediência do indivíduo jovem (若) expressam puro consentimento e o nobre ato de aceitar.	N1
柿	Caqui (fruta)	シ	かき	A rentável árvore (木) tão valorizada para ser vendida na feira e mercado da cidade (市) produz o doce caqui.	N1
芯	Núcleo, centro	シン	Não possui	A densa erva (艹) que esconde protetoramente o seu pequeno coração (心) guarda na verdade um valioso núcleo e centro.	N1
綻	Desfiar, romper	タン	ほころ・びる	O tenso fio (糸) que não se encontra bem fixo e assentado (定) inicia inevitavelmente um processo de se desfiar e romper.	N1
訂	Revisão, corrigir	テイ	Não possui	As ponderadas palavras (言) que acertam em cheio (丁) são perfeitas para se fazer uma rigorosa revisão e corrigir.	N1
汽	Vapor	キ	Não possui	A água (氵) fervente em contato com o fluído ar (气) origina rapidamente o vapor.	N1
薫	Aroma, cheirar bem	クン	かお・る	O mato (艹) pesado (重) que arde lentamente perto do fogo (灬) larga excelente aroma capaz de cheirar bem.	N1
隷	Escravo, subordinado	レイ	Não possui	O forte guerreiro (士) que cedeu e fez a reverência (示) a perseguir (隶) o mestre virou um servo, escravo e subordinado.	N1
俵	Saco de palha	ヒョウ	たわら	Uma astuta pessoa (亻) usando disfarce apenas no exterior (表) de si vestiu de facto um largo saco de palha.	N1
遷	Transição, mudança	セン	うつ・る	Caminhar longe (辶) a oeste (覀), com tamanho grande (大) a guiar por si próprio (己), marca drástica transição e mudança.	N1
枢	Pivô, centro	スウ	Não possui	A colossal madeira (木) que ajuda a fechar por dentro os limites do distrito (区) compõe um vital pivô e forte centro.	N1
肘	Cotovelo	チュウ	ひじ	A articulação flexível de carne (月) que permite dobrar numa curta distância de um polegar (寸) indica naturalmente o cotovelo.	N1
麓	Sopé da montanha	ロク	ふもと	A base florestal do arvoredo (林) onde o cansado cervo (鹿) bebe em paz é indubitavelmente o verde sopé da montanha.	N1
憧	Ansiar, admirar	ショウ, ドウ	あこが・れる	O entusiasmado coração (忄) que pula maravilhado de emoção imitando a criança (童) acaba de ansiar e muito admirar.	N1
帥	Comandante	スイ	Não possui	A figura no monte e colina (𠂤) erguendo firme a toalha ou bandeira (巾) é o respeitável comandante.	N1
漆	Laca (verniz)	シツ	うるし	A seiva como água (氵) da árvore (木) tocada pela pessoa (人) que goteja (氺) é a laca.	N1
酌	Servir bebida, consideração	シャク	く・む	Usar a concha (勺) para tirar o licor (酉) é um ato de servir bebida com consideração.	N1
頓	Repentino, parar	トン	Não possui	A tropa acampada (屯) abaixa a cabeça (頁) com a ordem para de forma repentino parar.	N1
賠	Compensação	バイ	Não possui	Entregar dinheiro (貝) estando de pé (立) perante a boca (口) da lei garante a compensação.	N1
渇	Sede, secar	カツ	かわ・く	A água (氵) a secar sob o dia (日) de cheiro forte (匂) traz imensa sede.	N1
慕	Adorar, ansiar	ボ	した・う	Na relva (艹), sob o grande (大) sol (日), o coração (㣺) não cansa de adorar e ansiar.	N1
婿	Genro, noivo	セイ	むこ	A mulher (女) corre com os seus pés (疋) para abraçar o corpo (月) do seu genro e noivo.	N1
妄	Delírio, sem base	モウ, ボウ	みだ・りに	Seguir uma sábia mulher (女) que já é falecida (亡) é um delírio total e sem base.	N1
慨	Lamentar, indignação	ガイ	なげ・く	O coração (忄) que teima em reviver o que já (既) passou sente indignação e decide lamentar.	N1
匿	Esconder, ocultar	トク	かくま・う	Usar o grande cofre (匚) para proteger o jovem (若) é a melhor forma de o esconder e ocultar.	N1
渓	Ravina, riacho de montanha	ケイ	たに	A água (氵) da capa (爫) que o marido  usa (夫) é grande (大) e flui forte pela ravina e riacho de montanha.	N1
侮	Desprezar, insultar	ブ	あなど・る	A pessoa (亻) que a cada vez (毎) age mal apenas procura desprezar e insultar.	N1
髄	Medula, essência	ズイ	Não possui	O osso (骨) que cede e cai (隋) expõe o seu interior, a medula e essência.	N1
穀	Cereais, grãos	コク	Não possui	O guerreiro (士) sob o teto (冖) usa a arma (殳) para processar os grãos (禾) e cereais.	N1
薪	Lenha	シン	たきぎ	O mato (艹) com a madeira fresca e recém-cortada (新) serve de excelente lenha.	N1
轄	Controle, jurisdição	カツ	Não possui	O carro (車) que causa dano (害) é detido e fica sob controle e jurisdição da lei.	N1
洪	Enchente, vasto	コウ	Não possui	A água (氵) que atinge a todos juntos (共) causa uma enchente num vasto território.	N1
牙	Presa, dente canino	ガ, ゲ	きば	O próprio desenho do osso afiado mostra na perfeição uma presa e dente canino.	N1
咽	Garganta, engasgar	イン, エツ, エン	むせ・ぶ	A boca (口) encontra uma causa (因) natural na garganta ao se engasgar.	N1
迅	Rápido, veloz	ジン	Não possui	Caminhar (辶) de forma acelerada como um pássaro em voo (卂) indica ser rápido e veloz.	N1
該	O referido, correspondente	ガイ	Não possui	As palavras (言) proferidas na hora do porco (亥) apontam para o referido e correspondente.	N1
逐	Perseguir, um por um	チク	Não possui	Avançar e caminhar (辶) correndo atrás do porco (豕) serve para perseguir um por um.	N1
嘲	Zombar, ridicularizar	チョウ	あざけ・る	A boca (口) faladora logo pela manhã (朝) serve apenas para zombar e ridicularizar.	N1
墜	Cair, despencar	ツイ	Não possui	O grupo e regimento (隊) que atinge o chão de terra (土) acaba por cair e despencar.	N1
臆	Timidez, covardia	オク	Não possui	O corpo (月) tomado pela forte ideia e emoção (意) sofre muito de timidez e covardia.	N1
餓	Fome, morrer de fome	ガ	Não possui	Faltando a minha comida (飠), o meu eu (我) sofre de fome ao ponto de morrer de fome.	N1
挫	Torcer, esmagar, desencorajar	ザ	Não possui	A mão (扌) que obriga o objeto a sentar (坐) à força consegue torcer, esmagar e desencorajar.	N1
錬	Refinar metais, treinar	レン	Não possui	O metal (金) selecionado com rigor (柬) vai ser usado para refinar metais e treinar.	N1
桟	Ponteira, armação	サン	Não possui	A madeira (木) furada e desgastada (戔) serve perfeitamente de rústica ponteira e armação.	N1
溺	Afogar, entregar-se a	デキ	おぼ・れる	A água (氵) impetuosa que ataca o fraco (弱) faz o homem se afogar e entregar-se a ela.	N1
賄	Suborno, fornecer refeições	ワイ	まかな・う	O dinheiro (貝) que alguém passa a ter (有) ilicitamente atua como suborno para fornecer refeições.	N1
盲	Cego, ignorância	モウ	Não possui	O olho (目) falecido (亡) que já não consegue ver marca o cego e a escuridão da ignorância.	N1
鯨	Baleia	ゲイ	くじら	O gigantesco peixe (魚) que tem o enorme tamanho da capital (京) é a própria baleia.	N1
侣	Companheiro	リョ	Não possui	A pessoa (亻) que acompanha a tua espinha dorsal (呂) lado a lado atua como um companheiro.	N1
艇	Barco, bote	テイ	Não possui	O pequeno barco (舟) que serve ao tribunal imperial (廷) é um nobre e seleto bote.	N1
丼	Tigela, prato servido sobre arroz	Não possui	どんぶり, どん	O poço (井) com uma gota e marca (丶) de alimento no fundo forma uma tigela e prato servido sobre arroz.	N1
堕	Cair, degenerar	ダ	Não possui	Na colina (阝), a mão esquerda (左) e a carne (月) tocam a terra (土) ao cair e degenerar.	N1
瘍	Tumor, inchaço	ヨウ	Não possui	A perigosa doença (疒) que fica exposta ao calor do sol (昜) forma um grave tumor e inchaço.	N1
槽	Tanque, banheira	ソウ	Não possui	A dura madeira (木) do antigo oficial subordinado (曹) é reaproveitada como tanque e banheira.	N1
憩	Descanso, pausa	ケイ	いこ・い, いこ・う	A língua (舌), a respiração (自) e o coração (心) tranquilos proporcionam um grande descanso e pausa.	N1
僅	Apenas, mero	キン	わず・か	A pessoa (亻) trabalhando em época de escassez de argila (堇) possui agora apenas um mero punhado.	N1
閲	Inspecionar, revisar	エツ	Não possui	No portão (門), ouvir as palavras de quem fala (兌) é essencial para inspecionar e revisar.	N1
柵	Cerca, paliçada	サク	Não possui	A madeira (木) finamente agrupada como as páginas de um livro (冊) forma uma boa cerca e paliçada.	N1
畔	Margem, beira	ハン	Não possui	Dividir ao meio (半) o campo de arroz (田) é a melhor forma de criar a sua margem e beira.	N1
睦	Amigável, íntimo	ボク	Não possui	Um terno olhar (目) trocado sobre o campo elevado (坴) reflete um afeto amigável e íntimo.	N1
唆	Instigar, sugerir	サ	そそのか・す	A boca (口) do astuto e perspicaz homem (夋) é usada frequentemente para instigar e sugerir planos.	N1
悼	Lamentar, prantear	トウ	いた・む	O dolorido coração (忄) posicionado em frente à mesa (卓) fúnebre junta-se para lamentar e prantear.	N1
吏	Oficial, funcionário público	リ	Não possui	Aquele um (一) indivíduo que atua nos registos da história (史) é o oficial e funcionário público.	N1
穫	Colher, colheita	カク	Não possui	Processar os cereais (禾) com o rigor da medida de um compasso (蒦) na mão resulta em grande colheita.	N1
酢	Vinagre	サク	す	O doce licor (酉) que, de forma repentina e subitamente (乍), ganha acidez, transforma-se em vinagre.	N1
賜	Conceder, dar	シ	たまわ・る	O dinheiro (貝) ou riqueza que é trocado de modo fácil (易) sem exigir nada é o ato de conceder e dar.	N1
腎	Rim	ジン	Não possui	O leal servo (臣) apoia com dor a mão (又) na parte do corpo (月) onde reside o rim.	N1
梗	Bloqueio, ramo	コウ	Não possui	A forte madeira (木) que resiste quando se tenta renovar (更) ou dobrar forma um bloqueio e rígido ramo.	N1
瑠	Lápis-lazúli	ル	Não possui	A brilhante joia do rei (王) que te obriga a reter e parar (留) para admirar a cor é o lápis-lazúli.	N1
